Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,-9999,Team,Salary,Cash Spent
110,Kalif Raymond,DET,29,WR,8,3,4,52,0,2,50.0,40,13.0,6.5,0,RaymKa00,,,
111,Salvon Ahmed,MIA,25,RB,6,0,16,51,1,2,37.5,10,3.2,8.5,0,AhmeSa01,Dolphins,1410000,1450000
112,Elijah Mitchell,SFO,25,RB,5,0,22,50,0,3,22.7,18,2.3,10.0,0,MitcEl00,49ers,985893,940000
113,Geno Smith,SEA,33,QB,7,7,20,49,0,3,30.0,15,2.5,7.0,2,SmitGe00,,,
114,Boston Scott,PHI,28,RB,7,0,8,45,0,3,75.0,18,5.6,6.4,0,ScotBo02,Eagles,1212360,2000000
115,Zamir White,LVR,24,RB,8,0,12,43,0,2,41.7,11,3.6,5.4,1,WhitZa01,Raiders,1055981,870000
116,Damien Williams,ARI,31,RB,3,0,11,43,0,1,54.5,9,3.9,14.3,0,WillDa05,Cardinals,376666,414166
117,Ty Chandler,MIN,25,RB,8,0,8,42,0,2,50.0,15,5.3,5.3,0,ChanTy01,Vikings,944711,870000
118,Gardner Minshew II,IND,27,QB,8,4,10,40,2,3,40.0,17,4.0,5.0,5,MinsGa00,,,
119,Ryan Tannehill,TEN,35,QB,6,6,12,40,1,2,33.3,13,3.3,6.7,3,TannRy00,,,
120,Deuce Vaughn,DAL,22,RB,5,0,20,40,0,1,10.0,13,2.0,8.0,0,VaugDe00,Cowboys,783333,883332
121,Jimmy Garoppolo,LVR,32,QB,6,6,20,39,0,6,30.0,9,2.0,6.5,1,GaroJi00,,,
122,Michael Carter,NYJ,24,RB,7,0,8,38,0,2,25.0,9,4.8,5.4,0,CartMi03,Jets,1141840,940000
123,Tutu Atwell,LAR,24,WR,8,8,4,35,0,2,75.0,22,8.8,4.4,0,AtweTu00,,,
124,D'Ernest Johnson,JAX,27,RB,8,0,9,35,0,1,33.3,19,3.9,4.4,0,JohnDE04,Jaguars,1092500,1232500
125,Xavier Gipson,NYJ,22,WR,7,0,4,34,0,2,50.0,18,8.5,4.9,3,GipsXa00,,,
126,Marquise Goodwin,CLE,33,WR,7,0,4,33,0,2,50.0,20,8.3,4.7,0,GoodMa00,,,
127,CeeDee Lamb,DAL,24,WR,7,7,4,33,0,2,75.0,12,8.3,4.7,1,LambCe00,,,
128,Tyler Scott,CHI,22,WR,8,0,4,33,0,1,100.0,11,8.3,4.1,0,ScotTy00,,,
129,Rashid Shaheed,NOR,25,WR,8,3,6,33,0,1,83.3,12,5.5,4.1,1,ShahRa00,,,
