Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,-9999,Team,Salary,Cash Spent
246,Connor Heyward,PIT,24,TE,7,2,1,0,0,0,0.0,0,0.0,0.0,0,HeywCo00,,,
247,KhaDarel Hodge,ATL,28,WR,8,2,1,0,0,0,0.0,0,0.0,0.0,1,HodgKh00,,,
248,Alec Ingold,MIA,27,FB,8,7,2,0,0,0,0.0,0,0.0,0.0,0,IngoAl01,,,
249,Rakim Jarrett,TAM,22,WR,7,0,1,0,0,0,0.0,0,0.0,0.0,0,JarrRa00,,,
250,Jakobi Meyers,LVR,27,WR,7,7,1,0,0,0,0.0,0,0.0,0.0,0,MeyeJa01,,,
251,Noah Brown,HOU,27,WR,3,1,1,-1,0,0,0.0,-1,-1.0,-0.3,0,BrowNo00,,,
252,Jake Browning,CIN,27,QB,1,0,1,-1,0,0,0.0,-1,-1.0,-1.0,0,BrowJa08,,,
253,Blaine Gabbert,KAN,34,QB,1,0,2,-1,0,0,0.0,0,-0.5,-1.0,0,GabbBl00,,,
254,Jaren Hall,MIN,25,QB,1,0,2,-1,0,0,0.0,0,-0.5,-1.0,1,HallJa00,,,
255,Jamal Agnew,JAX,28,WR,7,1,4,-2,0,0,0.0,1,-0.5,-0.3,1,AgneJa00,,,
256,C.J. Beathard,JAX,30,QB,2,0,3,-2,0,0,0.0,0,-0.7,-1.0,0,BeatC.00,,,
257,Teddy Bridgewater,DET,31,QB,1,0,2,-2,0,0,0.0,-1,-1.0,-2.0,0,BridTe00,,,
258,Gabriel Davis,BUF,24,WR,8,8,1,-2,0,0,0.0,-2,-2.0,-0.3,1,DaviGa01,,,
259,Jayden Reed,GNB,23,WR,7,6,1,-2,0,0,0.0,-2,-2.0,-0.3,1,ReedJa03,,,
260,Trent Taylor,CHI,29,WR,8,0,1,-2,0,0,0.0,-2,-2.0,-0.3,0,TaylTr02,,,
261,Jaylen Waddle,MIA,25,WR,7,7,1,-2,0,0,0.0,-2,-2.0,-0.3,0,WaddJa00,,,
262,Brian Hoyer,LVR,38,QB,3,1,3,-3,0,0,0.0,-1,-1.0,-1.0,0,HoyeBr00,,,
263,Rashee Rice,KAN,23,WR,8,2,1,-3,0,0,0.0,-3,-3.0,-0.4,0,RiceRa01,,,
264,Nathan Peterman,CHI,29,QB,1,0,2,-4,0,0,0.0,-2,-2.0,-4.0,1,PeteNa00,,,
265,Kyle Pitts,ATL,23,TE,8,6,1,-4,0,0,0.0,-4,-4.0,-0.5,0,PittKy00,,,
266,Jameis Winston,NOR,29,QB,3,0,3,-4,0,0,0.0,-1,-1.3,-1.3,0,WinsJa00,,,
267,Sam Darnold,SFO,26,QB,4,0,5,-5,0,0,0.0,-1,-1.0,-1.3,0,DarnSa00,,,
268,D'Wayne Eskridge,SEA,26,WR,1,0,1,-5,0,0,0.0,-5,-5.0,-5.0,0,EskrDW00,,,
269,Kadarius Toney,KAN,24,WR,8,2,6,-5,0,0,0.0,3,-0.8,-0.6,1,ToneKa00,,,
270,Christian Watson,GNB,24,WR,4,4,1,-5,0,0,0.0,-5,-5.0,-1.3,0,WatsCh00,,,
271,Mike White,MIA,28,QB,2,0,4,-5,0,0,0.0,-1,-1.3,-2.5,0,WhitMi01,,,
272,Ja'Marr Chase,CIN,23,WR,7,7,3,-6,0,0,0.0,2,-2.0,-0.9,1,ChasJa00,,,
273,Kyle Allen,BUF,27,QB,4,0,7,-7,0,0,0.0,-1,-1.0,-1.8,0,AlleKy00,,,
274,Cooper Rush,DAL,30,QB,4,0,7,-7,0,0,0.0,0,-1.0,-1.8,0,RushCo00,,,
